"","PromptRelevant","SelfDH1","SelfDH2","SelfDH3","SelfDH4","SelfDH5","SelfDH6","SelfDH7","SelfDH8","SelfDH9","SelfDH10","Condition","SelfDH_Mean","Condition_Label"
"89",1,7,7,7,7,7,7,7,7,7,7,"1",7,"Ethical"
"90",1,6,7,5,5,7,7,7,7,7,7,"3",6.5,"Neutral"
"91",1,6,6,6,7,7,6,6,4,6,6,"3",6,"Neutral"
"92",1,7,7,7,6,6,6,6,7,6,7,"2",6.5,"Unethical"
"93",1,6,5,4,4,6,6,6,5,6,6,"2",5.4,"Unethical"
"94",1,7,7,4,7,7,7,7,7,7,7,"3",6.7,"Neutral"
"95",1,6,6,5,6,6,5,4,5,6,7,"2",5.6,"Unethical"
"96",0,6,5,6,7,7,6,7,6,7,6,"1",6.3,"Ethical"
"97",1,7,7,7,7,7,7,7,7,7,7,"3",7,"Neutral"
"98",1,7,7,4,7,6,7,7,7,7,6,"3",6.5,"Neutral"
"99",1,6,7,5,6,7,7,7,7,7,7,"2",6.6,"Unethical"
"100",1,7,7,3,7,7,6,7,6,7,6,"1",6.3,"Ethical"
"101",1,5,7,6,7,7,7,7,7,7,7,"3",6.7,"Neutral"
"102",1,5,4,6,7,4,6,6,5,6,7,"3",5.6,"Neutral"
"103",0,6,3,5,5,5,4,2,3,6,4,"2",4.3,"Unethical"
"104",1,6,6,6,6,6,6,6,6,6,6,"1",6,"Ethical"
"105",1,6,7,6,7,7,6,7,7,7,7,"1",6.7,"Ethical"
"106",1,7,7,4,7,7,7,7,7,7,7,"3",6.7,"Neutral"
"107",1,4,5,6,6,5,5,5,5,5,5,"3",5.1,"Neutral"
"108",1,6,7,7,6,7,7,7,7,7,7,"1",6.8,"Ethical"
"109",1,5,7,7,7,7,7,7,6,7,7,"1",6.7,"Ethical"
"110",1,7,7,7,7,7,7,7,7,7,7,"3",7,"Neutral"
"111",1,4,7,2,3,5,6,5,4,2,5,"3",4.3,"Neutral"
"112",1,6,7,5,7,7,7,7,6,7,7,"1",6.6,"Ethical"
"113",1,6,5,2,4,7,6,6,6,5,6,"2",5.3,"Unethical"
"114",1,4,6,6,7,6,7,7,7,7,7,"2",6.4,"Unethical"
"115",1,4,7,5,7,7,7,7,7,7,7,"1",6.5,"Ethical"
"116",1,5,7,5,7,7,7,7,7,7,7,"1",6.6,"Ethical"
"117",0,5,5,6,6,6,6,5,5,6,6,"3",5.6,"Neutral"
"118",0,4,2,6,7,5,7,6,3,5,7,"2",5.2,"Unethical"
"119",1,7,7,4,6,7,7,7,6,7,7,"1",6.5,"Ethical"
